Date/time,Temperature,Humidity,Pressure,accel x,accel y ,accel z,gyro x,gyro y,gyro z,compass x,compass y,compass z,pir_motion,color blue,color red,color green,color clear,color gain,latitude,longitude,elevation
2022-04-14 04:50:56.189381,35.3825416564941,29.4964485168457,1006.06762695313,0.0190319996327162,0.0317199975252151,0.0139079997316003,-0.000730365514755249,-0.0000816807150840759,-0.000507837161421776,35.3044586181641,-2.99640989303589,-10.6405372619629,1,0,0,0,0,60,"-51deg 00' 32.0""","-85deg 08' 51.0""",435.546905726834
2022-04-14 04:51:01.076094,36.0404090881348,29.1048202514648,1006.0830078125,0.0204959996044636,0.0309880003333092,0.0151279997080565,0.000491011887788773,0.00205598026514053,0.000408459454774857,35.7409324645996,-3.27748203277588,-10.8951988220215,0,0,0,0,0,60,"-51deg 03' 56.2""","-84deg 40' 41.5""",435.554708014774
2022-04-14 04:51:06.013284,35.8270492553711,29.3251113891602,1006.07006835938,0.0204959996044636,0.0304999984800816,0.0148839997127652,0.00201768800616264,0.0014447495341301,0.00163006223738194,35.5501899719238,-3.22727417945862,-10.7372703552246,0,0,0,0,0,60,"-51deg 07' 15.8""","-84deg 12' 02.5""",435.561743931046
2022-04-14 04:51:10.870306,35.4714431762695,29.052806854248,1006.07373046875,0.0195199996232986,0.0326960012316704,0.0141519997268915,0.00201735645532608,0.00266583263874054,-0.000813372433185577,35.5836143493652,-3.21523404121399,-11.0857162475586,0,0,0,0,0,60,"-51deg 10' 24.7""","-83deg 43' 47.5""",435.567794887311
2022-04-14 04:51:15.754630,35.4892234802246,29.3618259429932,1006.064453125,0.0202520005404949,0.0309880003333092,0.0141519997268915,-0.00103701651096344,0.00388691574335098,0.000408459454774857,35.4588851928711,-3.27522110939026,-10.8324241638184,0,0,0,0,0,60,"-51deg 13' 26.4""","-83deg 15' 26.5""",435.57298783068
2022-04-14 04:51:20.640134,35.3114242553711,29.1445941925049,1006.10107421875,0.0204959996044636,0.0312319993972778,0.0119559997692704,0.00201700255274773,0.00174851715564728,0.000103259459137917,35.3353080749512,-2.85551404953003,-11.0612325668335,0,0,0,0,0,60,"-51deg 16' 20.7""","-82deg 47' 00.8""",435.577315258126
2022-04-14 04:51:25.521832,34.9913787841797,29.2425022125244,1006.1220703125,0.0202520005404949,0.0334279984235764,0.0139079997316003,0.00232195481657982,-0.000695295631885529,-0.000202380120754242,35.2893829345703,-2.51602578163147,-11.6011257171631,0,0,0,0,0,60,"-51deg 19' 08.1""","-82deg 18' 24.7""",435.580784335289
2022-04-14 04:51:30.439364,35.346981048584,29.3036937713623,1006.07836914063,0.0200079996138811,0.0304999984800816,0.0156159996986389,0.00140512362122536,0.00327496230602264,0.000408533960580826,35.2628364562988,-2.56020760536194,-11.3525714874268,0,0,0,0,0,60,"-51deg 21' 48.1""","-81deg 49' 43.2""",435.583377493286
2022-04-14 04:51:35.328874,35.4892234802246,29.086462020874,1006.09692382813,0.020983999595046,0.0322079993784428,0.0143959997221828,0.00171007215976715,0.0020526647567749,0.000714121386408806,34.9610595703125,-2.66367101669312,-11.0130577087402,0,0,0,0,0,60,"-51deg 24' 20.5""","-81deg 20' 58.2""",435.585089289735
2022-04-14 04:51:40.233489,35.4181022644043,29.1415348052978,1006.08154296875,0.0195199996232986,0.0317199975252151,0.0134199997410178,0.000488117337226868,0.000830784440040588,-0.00142372772097588,35.0078773498535,-2.42134928703308,-11.2816934585571,0,0,0,0,0,60,"-51deg 26' 45.1""","-80deg 52' 10.8""",435.585917985662
2022-04-14 04:51:45.107047,35.5603446960449,29.0711631774902,1006.08544921875,0.01927600055933,0.0309880003333092,0.0139079997316003,0.0044577457010746,0.00266268849372864,-0.00203417986631393,34.8071899414062,-2.4265923500061,-11.1842947006226,0,0,0,0,0,60,"-51deg 29' 01.2""","-80deg 23' 32.0""",435.585866823616
2022-04-14 04:51:50.040953,35.3647613525391,28.9426612854004,1006.09326171875,0.0202520005404949,0.0317199975252151,0.0161039996892214,0.00445695593953133,0.000829786062240601,-0.00111770443618298,34.6691284179687,-2.80613350868225,-11.4592838287354,0,0,0,0,0,60,"-51deg 31' 11.5""","-79deg 54' 23.4""",435.584922010884
2022-04-14 04:51:54.937623,35.4714431762695,29.1109390258789,1006.10888671875,0.0200079996138811,0.0300120003521442,0.0143959997221828,0.0020131915807724,0.000218614935874939,-0.000201482325792313,34.8937339782715,-2.75122475624084,-11.0670804977417,0,0,0,0,0,60,"-51deg 33' 12.8""","-79deg 25' 30.2""",435.583100221534
2022-04-14 04:51:59.802249,35.0447196960449,29.2119064331055,1006.07690429688,0.0197639986872673,0.0317199975252151,0.0139079997316003,0.00353964045643806,0.00388303399085999,-0.00111757777631283,34.8273048400879,-2.39115381240845,-11.3125686645508,1,0,0,0,0,60,"-51deg 35' 06.0""","-78deg 56' 39.4""",435.580404287677
2022-04-14 04:52:04.664675,35.4892234802246,29.1843700408936,1006.09130859375,0.0200079996138811,0.0322079993784428,0.0143959997221828,0.00109569728374481,0.00296634435653687,-0.00050671212375164,34.7646446228027,-2.00440955162048,-10.7282590866089,0,0,0,0,0,60,"-51deg 36' 51.4""","-78deg 27' 49.3""",435.576836957496
2022-04-14 04:52:09.537778,35.3292007446289,29.1598930358887,1006.08569335938,0.0214719995856285,0.0302559994161129,0.0117119997739792,0.0035383440554142,-0.0000879541039466858,0.000715041533112526,34.9109687805176,-2.06011247634888,-10.9662981033325,0,0,0,0,0,60,"-51deg 38' 29.1""","-77deg 58' 56.4""",435.5723914991
2022-04-14 04:52:14.405083,35.5603446960449,29.2302627563477,1006.11083984375,0.0202520005404949,0.0300120003521442,0.0141519997268915,0.000789150595664978,0.00143900513648987,0.00163131393492222,34.8126029968262,-2.08994030952454,-11.2265005111694,1,0,0,0,0,60,"-51deg 39' 59.2""","-77deg 29' 58.4""",435.567058448323
2022-04-14 04:52:19.293472,35.862606048584,29.2945156097412,1006.091796875,0.0202520005404949,0.0312319993972778,0.014639999717474,0.00109443068504334,0.00235480815172195,-0.000506766140460968,34.6714630126953,-2.15715837478638,-10.9209518432617,0,0,0,0,0,60,"-51deg 41' 21.5""","-77deg 01' 00.9""",435.560853499526
2022-04-14 04:52:24.150051,35.3825416564941,29.2302627563477,1006.0888671875,0.0195199996232986,0.0314759984612465,0.0139079997316003,0.00201058387756348,0.00143828243017197,0.00102034397423267,34.8509559631348,-1.9365029335022,-11.5989265441895,0,0,0,0,0,60,"-51deg 42' 36.0""","-76deg 32' 02.0""",435.553770878387
2022-04-14 04:52:29.049361,35.4181022644043,29.2455615997314,1006.08276367188,0.0200079996138811,0.0312319993972778,0.0126879997551441,0.00414777174592018,0.000216476619243622,0.000409556552767754,34.7743949890137,-1.38183844089508,-11.0985498428345,0,0,0,0,0,60,"-51deg 43' 42.7""","-76deg 03' 00.1""",435.545802434279
2022-04-14 04:52:33.939755,35.1336212158203,29.2425022125244,1006.03369140625,0.0190319996327162,0.0319640003144741,0.0143959997221828,0.0013984739780426,0.00418656319379807,0.00071488693356514,34.5933418273926,-1.38220369815826,-11.0634317398071,0,0,0,0,0,60,"-51deg 44' 42.1""","-75deg 33' 45.6""",435.536893348728
2022-04-14 04:52:38.837509,34.9735984802246,28.9640769958496,1006.06982421875,0.0200079996138811,0.0304999984800816,0.0124439997598529,0.00353576615452766,0.00204809755086899,-0.00142283551394939,34.6281280517578,-1.31861960887909,-11.1195783615112,0,0,0,0,0,60,"-51deg 45' 33.4""","-75deg 04' 36.6""",435.527131035725
2022-04-14 04:52:43.718548,35.4181022644043,28.9824352264404,1006.0625,0.01927600055933,0.0317199975252151,0.0153719997033477,0.00506196171045303,0.00143663585186005,-0.000201130285859108,34.3393669128418,-1.51955699920654,-11.0630035400391,0,0,0,0,0,60,"-51deg 46' 16.8""","-74deg 35' 30.0""",435.516505239387
2022-04-14 04:52:48.648171,35.3114242553711,29.1017608642578,1006.06298828125,0.0226919986307621,0.0331839993596077,0.011467999778688,0.00109061971306801,0.000825539231300354,-0.000811943784356117,34.4624938964844,-1.55085957050324,-11.5213327407837,0,0,0,0,0,60,"-51deg 46' 52.6""","-74deg 06' 08.1""",435.504898350698
2022-04-14 04:52:53.588058,36.0581893920898,29.2792167663574,1006.06616210938,0.0190319996327162,0.0319640003144741,0.0121999997645617,0.00109006091952324,0.00296323001384735,0.00102077983319759,34.4973030090332,-1.47009098529816,-11.9293222427368,0,0,0,0,0,60,"-51deg 47' 20.5""","-73deg 36' 37.0""",435.492332675171
2022-04-14 04:52:58.520361,35.8448257446289,29.2394428253174,1006.07836914063,0.0195199996232986,0.0307439994066954,0.0129319997504354,0.00170034542679787,0.00204662978649139,-0.000200849026441574,34.5384902954102,-1.4736145734787,-11.7697038650513,0,0,0,0,0,60,"-51deg 47' 40.5""","-73deg 07' 00.5""",435.478824040423
2022-04-14 04:53:03.452028,35.0980606079102,29.1996669769287,1006.09057617188,0.01927600055933,0.0312319993972778,0.0136639997363091,0.00139479339122772,-0.00161882489919662,0.000715421512722969,34.4639625549316,-1.46881985664368,-11.2823305130005,0,0,0,0,0,60,"-51deg 47' 52.3""","-72deg 37' 39.8""",435.464540094195
2022-04-14 04:53:08.332144,35.4714431762695,29.0222091674805,1006.083984375,0.0202520005404949,0.0309880003333092,0.014639999717474,0.00169956684112549,0.00174058973789215,-0.00233828648924828,34.1240272521973,-1.25428700447083,-11.1562089920044,0,0,0,0,0,60,"-51deg 47' 56.2""","-72deg 08' 22.3""",435.449393594137
2022-04-14 04:53:13.216397,35.4536628723145,29.2577991485596,1006.07080078125,0.0207399986684322,0.0324519984424114,0.0156159996986389,0.00169903784990311,0.000824064016342163,0.0013267993927002,34.1776542663574,-1.44432079792023,-11.0521564483643,0,0,0,0,0,60,"-51deg 47' 52.2""","-71deg 39' 08.1""",435.433388313614
2022-04-14 04:53:18.137742,35.3825416564941,28.8019180297852,1006.04760742188,0.0204959996044636,0.0302559994161129,0.0139079997316003,0.00322564318776131,0.00112903118133545,-0.000200260430574417,33.8267631530762,-1.36731338500977,-11.696662902832,0,0,0,0,0,60,"-51deg 47' 40.3""","-71deg 09' 49.3""",435.416450939047
2022-04-14 04:53:23.059046,35.4181022644043,28.9304218292236,1006.08056640625,0.0195199996232986,0.0309880003333092,0.0134199997410178,0.00200348347425461,0.00204509496688843,-0.000200210139155388,33.8204727172852,-1.28798878192902,-12.0119905471802,0,0,0,0,0,60,"-51deg 47' 20.3""","-70deg 40' 22.9""",435.39854040533
2022-04-14 04:53:28.009154,35.5247840881348,29.052806854248,1006.06127929688,0.0197639986872673,0.0314759984612465,0.0117119997739792,0.00139244645833969,0.00326651334762573,-0.00142194330692291,33.9505615234375,-1.03847825527191,-11.4769668579102,0,0,0,0,0,60,"-51deg 46' 52.3""","-70deg 10' 51.8""",435.379677346899
2022-04-14 04:53:32.873619,35.4536628723145,29.2119064331055,1006.0400390625,0.0207399986684322,0.0309880003333092,0.0148839997127652,0.00139207020401955,0.00234956294298172,-0.000200085341930389,33.7295417785645,-0.970282912254334,-11.7864418029785,0,0,0,0,0,60,"-51deg 46' 16.6""","-69deg 41' 40.9""",435.360133860053
2022-04-14 04:53:37.793171,35.0625,29.1507129669189,1006.06494140625,0.0200079996138811,0.0304999984800816,0.0131759997457266,0.00261298567056656,0.00112750381231308,0.00163238123059273,34.1889572143555,-0.922888696193695,-11.5282669067383,0,0,0,0,0,60,"-51deg 45' 32.8""","-69deg 12' 19.8""",435.339578481196
2022-04-14 04:53:42.646465,35.7381439208984,29.3220520019531,1006.04931640625,0.0202520005404949,0.0317199975252151,0.0141519997268915,0.00200159102678299,0.00326493382453918,0.000105217099189758,34.109317779541,-0.82181042432785,-11.4438848495483,0,0,0,0,0,60,"-51deg 44' 41.7""","-68deg 43' 18.8""",435.318367945706
2022-04-14 04:53:47.528212,36.0759696960449,29.1354160308838,1006.04321289063,0.0222040005028248,0.0312319993972778,0.0136639997363091,0.0029171034693718,0.00112665444612503,-0.000811055302619934,33.900764465332,-0.82188081741333,-11.5468120574951,0,0,0,0,0,60,"-51deg 43' 42.8""","-68deg 14' 17.3""",435.296264104639
2022-04-14 04:53:52.467666,35.4714431762695,29.3893623352051,1006.06787109375,0.0200079996138811,0.0302559994161129,0.0139079997316003,-0.000137701630592346,-0.00101128220558167,-0.000810952857136726,33.7832641601562,-0.788820743560791,-11.1995325088501,0,0,0,0,0,60,"-51deg 42' 35.2""","-67deg 44' 57.3""",435.273020459028
2022-04-14 04:53:57.389285,35.4003219604492,29.0589256286621,1006.05322265625,0.0190319996327162,0.0304999984800816,0.0139079997316003,-0.000748712569475174,0.000821135938167572,0.0013266634196043,33.7355041503906,-0.617997527122498,-11.1555585861206,0,0,0,0,0,60,"-51deg 41' 19.7""","-67deg 15' 37.3""",435.248865686716
2022-04-14 04:54:02.253627,35.0447196960449,29.1690711975098,1006.03466796875,0.0180559996515512,0.0312319993972778,0.0131759997457266,0.00413750112056732,0.00326387584209442,-0.00142207741737366,33.8366012573242,-0.294048339128494,-10.9760551452637,0,0,0,0,0,60,"-51deg 39' 57.3""","-66deg 46' 40.0""",435.224122331353
2022-04-14 04:54:07.143363,35.4892234802246,29.1813087463379,1006.04907226563,0.0212280005216598,0.0319640003144741,0.0124439997598529,0.0019991472363472,0.00143089145421982,-0.000200141221284866,33.8560600280762,-0.433062970638275,-10.6713628768921,0,0,0,0,0,60,"-51deg 38' 26.4""","-66deg 17' 31.2""",435.198310808542
